public_path,manuscript_objects,module_id,public_sha256,original_executed_path,original_sha256,public_curation_status,governing_locks
04_code/Python/export_result_figures.py,"Figures 2-4 and S1",G8,8ec4172d268a9b0f6eb884a8564b049a0b761baffe25749a5c055b54d362f905,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/entry_scripts/g8_export_locked_figures_png_pdf_txt_v3.py,09dac452f12eb218e080c4d132301a7f12fb771c19bfe1298e9502d45844cc65,SEMANTIC_ENTRYPOINT_AND_PATH_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/Python/export_result_figures_base.py,"Figures 2-4 and S1",G8,82299f2064062e3c0b32701c5c6d2557dc87c120527bc7def192264fa9a2b64d,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/modules/g8_export_locked_figures_png_pdf_txt_v1.py,85bdc4f4c7ae88ab7e0bd9ebb5148c3204f02502c5017843cd975677f93f781e,SEMANTIC_RENAME_AND_PATH_IMPORT_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/Python/finalize_result_figure_exports.py,"Figures 2-4 and S1",G8,d5a6f94a7fcef8a54843804c023bdd23fcd940587173eefaf83d7f864514f855,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/entry_scripts/g8_finalize_simple_figure_export_visual_match_v1.py,d5a6f94a7fcef8a54843804c023bdd23fcd940587173eefaf83d7f864514f855,SEMANTIC_FILENAME_ONLY_BYTE_EXACT,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/Python/result_figure_layout.py,"Figures 2-4",G8,854bb5906619be07c9c2613d42e65fc6da782d77656258a3d7bc316dfdda88da,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/modules/g8_repair_main_result_panel_headers_v1.py,02d863e99ae3b6a73c50757a52a1da1bc2786931b7ba2d1c5d315b070f8bb95a,SEMANTIC_RENAME_AND_PATH_IMPORT_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/Python/panel_header_layout.py,"Figures 2-4",G8,b73ea5ab293448e716569220a5005bc1f4da7d5896719409337a818154a10493,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/modules/g8_repair_visible_body_header_anchors_v2.py,0c2a5ef6f6b0db65e193cf2d2a8da4b47a61c326b0f8731c802312c43b3e51e7,SEMANTIC_RENAME_AND_PATH_IMPORT_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/Python/result_figure_builders.py,"Figures 2 and 4",G8,6fd7566206bef41c28be0acd0a2e773bb24311f3e98d9fb78f5bfc1581292d69,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/modules/g8_repair_main_figure_candidates_v2.py,46324deabc8fa75c6851d614b365bc303af6dfbd5646269eae5b5ebc3ee7e576,SEMANTIC_RENAME_AND_METADATA_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/Python/figure23_builders.py,"Figures 2 and 3",G8,8b632c17ffc7392020814200c566022ee45873d4f528647a6858b3e686ccaf35,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/modules/g8_repair_remaining_figure_candidates_v3.py,3435d145d9e85f413b715a356e8dce0766770f9d05b6547d109584f437bab4f1,SEMANTIC_RENAME_AND_PATH_IMPORT_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/Python/validate_panel_headers.py,"Figures 2-4 and S1",G8,758274f60253932b92d0d7fdbceee7cf460e9ecf7823a2f66332c7bb7d293d49,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/shared_utils/g8_validate_panel_header_contract_coverage_v1.py,758274f60253932b92d0d7fdbceee7cf460e9ecf7823a2f66332c7bb7d293d49,SEMANTIC_FILENAME_ONLY_BYTE_EXACT,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/R/build_figureS1.R,Figure S1,G8,f00148f74cea76c1369e3a66452ebc0305f66d1a57b2164eb3b63314afe0491e,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/modules/g8_repair_figureS1_panel_headers_v4.R,d95e47a747460de272fc39d63652a157d887faa061ae9bd3682380434bd6dcac,SEMANTIC_RENAME_AND_PATH_METADATA_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
04_code/R/export_figureS1.R,Figure S1,G8,f7ce99cbb8be66a2cf2d3fc749114599b41a99eedfb51b5544c5cfd2368fd63a,06_locked_results/reproducibility_archives/G8_RESULT_FIGURES_FINAL_v1/02_code/modules/g8_export_figureS1_600dpi_pdf_v3.R,665519ea95ed7ad555cfb661ee0712a3574d48a10ccf39aa3441d7e6d8f3006a,SEMANTIC_RENAME_AND_PATH_METADATA_ONLY_CURATED,"L6_G8_FINAL_FIGURE_CONTENT_v1;L7_G8_FINAL_FIGURE_VISUAL_AND_CODE_v1"
