object_id,path,role,size_bytes,modified_utc,sha256,status,notes
G165C0030,GSM5050550_G26counts.csv.gz,COPIED_SOURCE,5825835,2021-01-29T19:04:55+00:00,23923073259285e3156f4bfaac404feca74565eea9342ad13af9afae87aec753,PRESENT,
G165C0031,GSM5050551_G27counts.csv.gz,COPIED_SOURCE,7073279,2021-01-29T19:04:59+00:00,7c7c364d5430ef549606ad864446cd4f11dd6504ee29419d9e2e020241cb2e4f,PRESENT,
G165C0032,GSM5050552_G28counts.csv.gz,COPIED_SOURCE,6753091,2021-01-29T19:05:04+00:00,7f4ad678f14b4b0df9f777b4f7036dadbc08329a13f0a5414f5de96de10c25c6,PRESENT,
G165C0033,GSM5050553_G29counts.csv.gz,COPIED_SOURCE,10189707,2021-01-29T19:05:09+00:00,014ac1102695719c432d7afe79c61684437b102f8c01c065112efe2c9ceb3e02,PRESENT,
G165C0034,GSM5050554_G30counts.csv.gz,COPIED_SOURCE,8888703,2021-01-29T19:05:15+00:00,15d89064b81b8ab384805e32020b511496d8ac94fa4901bd172fc00a7be35b53,PRESENT,
G165C0035,GSM5050555_G31counts.csv.gz,COPIED_SOURCE,8104951,2021-01-29T19:05:19+00:00,712a24f515720fd860652aa8964cfc9d7233d24ff1b62516071125857ecd37bd,PRESENT,
G165C0036,GSM5050556_G32counts.csv.gz,COPIED_SOURCE,9717911,2021-01-29T19:05:25+00:00,e8610c5f6ada7da8f3d89d9013f92e0c72056eeb3ce33eb293a218c2b1bda520,PRESENT,
G165C0037,GSM5050557_G33counts.csv.gz,COPIED_SOURCE,9856602,2021-01-29T19:05:31+00:00,232079a56757c445d85816f431395d654a7df30d527e82bb5c0e6710a9d1ec78,PRESENT,
G165C0038,GSM5050558_G34counts.csv.gz,COPIED_SOURCE,8284881,2021-01-29T19:05:37+00:00,6c237bc76c5dc49968811edcf229950773f57bbb331c8b7f052ae7d3c30e6945,PRESENT,
G165C0039,GSM5050559_G35counts.csv.gz,COPIED_SOURCE,7511559,2021-01-29T19:05:41+00:00,29f6d169c949a51cee50d6ba0a26232d05d6a756ab09e9309498d3904d5804f6,PRESENT,
G165C0040,GSM5050560_G36counts.csv.gz,COPIED_SOURCE,12716155,2021-01-29T19:05:48+00:00,2e21613f21a4a3dc0d516ecefc26f474ea2e2a3c331ad5b1a0c85d6d318405f2,PRESENT,
G165C0041,GSM5050561_G37counts.csv.gz,COPIED_SOURCE,13240477,2021-01-29T19:05:56+00:00,429785b9221fd396167474d2ceee78bc0a0c97a427b7b2e5c2b4a5beb168d97b,PRESENT,
G165C0042,GSM5050562_G38counts.csv.gz,COPIED_SOURCE,5311190,2021-01-29T19:05:59+00:00,13582676b080df5b2fe238281ab2912febf5c7cc15f1544c99b89336ae6d569c,PRESENT,
G165C0043,GSM5050563_G39counts.csv.gz,COPIED_SOURCE,9537546,2021-01-29T19:06:04+00:00,c179540deb245188a1f43c709c4736a5e634fc10a48e29721bb61e2102cb8d71,PRESENT,
G165C0044,GSM5050564_G40counts.csv.gz,COPIED_SOURCE,7333377,2021-01-29T19:06:08+00:00,64734ea81c80bcea112cce4e2fddf0092eba87d69d9dec6ecd653971c9508f4a,PRESENT,
G165C0045,GSM5050565_G41counts.csv.gz,COPIED_SOURCE,7224116,2021-01-29T19:06:12+00:00,79c2c87da49e935999dbdf7bb76947a5584cdd15a92f308be6e269273bbc0661,PRESENT,
G165C0046,GSM5050566_G42counts.csv.gz,COPIED_SOURCE,6726330,2021-01-29T19:06:16+00:00,491bbce789af4133a37806e79e7e7c41e2851ffa75ab01469a9b1f9fb06b5729,PRESENT,
G165C0047,GSM5050567_G43counts.csv.gz,COPIED_SOURCE,3992131,2021-01-29T19:06:18+00:00,c3cedaaa28b4371548b17bd696bc4ec1f079e163c42818f862f45684051d0d51,PRESENT,
G165C0048,GSM5050568_G44counts.csv.gz,COPIED_SOURCE,6172619,2021-01-29T19:06:21+00:00,5ee5e80bc1eb4cb17b0f0b0245b128d86390782ea25d40d8f7d52f23612adad6,PRESENT,
G165C0049,GSM5050569_G45counts.csv.gz,COPIED_SOURCE,13809312,2021-01-29T19:06:29+00:00,4a8e3d6a9a1ba727238f12f1d6ba4ac331f39bea3344cfd83ced5ca52f51c9e3,PRESENT,
G165C0050,GSM5050570_G46counts.csv.gz,COPIED_SOURCE,5567112,2021-01-29T19:06:32+00:00,1900a5231d6f6066f8045d5745cde415bc991f5e9cae038193e6ad6aba256769,PRESENT,
G165C0051,GSM5050571_G47counts.csv.gz,COPIED_SOURCE,9906435,2021-01-29T19:06:38+00:00,55277ce00f254610d1cad5a2f85279038bc22b5d490f7324474dcdde1d21f1f4,PRESENT,
G165C0052,GSM5050572_G48counts.csv.gz,COPIED_SOURCE,6587770,2021-01-29T19:06:41+00:00,d1eb2101dd4eb0284ed4e8f836b64455bc5e7eff8de1dd46fb188c8782a73752,PRESENT,
G165C0053,GSM5050573_G49counts.csv.gz,COPIED_SOURCE,12557134,2021-01-29T19:06:48+00:00,17a36332c26fb3844e513a542706baff29f485278b92f276fd1f8567c8b7d217,PRESENT,
G165C0054,GSM5050574_G50counts.csv.gz,COPIED_SOURCE,10270832,2021-01-29T19:06:54+00:00,3a31bb18752971ae3dd71ea4b581096254aa2e8e26d010654e0b68ebd3aa5c8b,PRESENT,
