cell_type,tested_genes,minimum_global_FDR,minimum_within_cell_type_FDR,healer_participants,nonhealer_participants,display_label
SMOOTH_MUSCLE,12776,0.308834036196974,0.0601253146174043,7,4,Smooth muscle
BASAL_KERATINOCYTE,11002,0.831237592356186,0.278717420184773,6,4,Basal KC
LYMPHATIC_ENDOTHELIAL,4767,0.918036435566167,0.26674873146068,5,3,Lymphatic EC
FIBROBLAST,11435,0.990378137625038,0.999853811510739,7,4,Fibroblast
VASCULAR_ENDOTHELIAL,10867,0.990378137625038,0.770613915793447,6,4,Vascular EC
UNRESOLVED,3864,0.990378137625038,0.83185194618894,4,3,Unresolved
M1_LIKE_MACROPHAGE,4941,0.990378137625038,0.736395210452348,7,3,M1-like macro.
T_LYMPHOCYTE,5972,0.990378137625038,0.99980589364305,7,4,T cell
