"Package","Installed","Version"
"limma",TRUE,"3.66.0"
"edgeR",TRUE,"4.8.2"
"GEOquery",TRUE,"2.78.0"
"affy",FALSE,""
"oligo",TRUE,"1.74.0"
"Biobase",TRUE,"2.70.0"
"AnnotationDbi",TRUE,"1.72.0"
"org.Hs.eg.db",TRUE,"3.22.0"
"sva",FALSE,""
"fgsea",TRUE,"1.36.2"
"msigdbr",TRUE,"26.1.0"
"renv",FALSE,""
