source_object_id,path,source_type,source_url,size_bytes,sha256,read_only_status,notes
M01E_SRC001,03_data/raw_external_READ_ONLY/primary_evidence/M01_GSE68183_GSE80178/Ramirez_2015_PLOS_ONE_fulltext.xml,PRIMARY_PUBLICATION_XML,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0137133&type=manuscript,114564,868781cddcaed999d390fdf23989732b807292a23c1738b721cab5e926ea5405,READ_ONLY_VERIFIED,Official PLOS full-text XML for DOI 10.1371/journal.pone.0137133
M01E_SRC002,03_data/raw_external_READ_ONLY/primary_evidence/M01_GSE68183_GSE80178/Ramirez_2018_PMC6358418_fulltext.html,PRIMARY_PUBLICATION_HTML,https://pmc.ncbi.nlm.nih.gov/articles/PMC6358418/,227526,e28c2da84d4e4e633febf55e7a4b04675da55fd396c8cbe625d1fba1aa334f7d,READ_ONLY_VERIFIED,Official PMC full-text HTML for PMID 29273315
M01E_SRC003,03_data/raw_external_READ_ONLY/primary_evidence/M01_GSE68183_GSE80178/GSE68186_family.xml.tgz,GEO_FAMILY_METADATA,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68186/miniml/GSE68186_family.xml.tgz,3057187,31aea4236a4534dfb0b7fc06c020d4212e1eb8f3227e7f77d7efe19542836fb0,READ_ONLY_VERIFIED,Official GEO SuperSeries MINiML family metadata
