"analysis_level","left_specification","right_specification","matched_objects","spearman_logFC","sign_concordance","maximum_absolute_logFC_difference","top_n","top_overlap","top_jaccard","left_BH_FDR_lt_0_05","right_BH_FDR_lt_0_05","significant_overlap","maximum_absolute_expression_difference","naive_independent_study_count","provenance_aware_independent_study_count","naive_accession_rows","provenance_aware_unique_objects","independent_replication_eligible","evidence_role"
"FEATURE","GSE68183_ACCESSION","GSE80178_ALIAS_CONTROL_SUBSET",33297,1,1,0,500,500,1,0,0,0,0,2,1,12,6,FALSE,"PSEUDO_REPLICATION_FROM_EXACT_RAW_OBJECT_REUSE"
"GENE","GSE68183_ACCESSION","GSE80178_ALIAS_CONTROL_SUBSET",18865,1,1,0,500,500,1,0,0,0,0,2,1,12,6,FALSE,"PSEUDO_REPLICATION_FROM_EXACT_RAW_OBJECT_REUSE"
